Participant_ID,Country,Discipline,Stage,MTLD,MLU,Cohesion_Score,SBERT_Similarity
P1,Iran,Sociology,Original,72.4,14.2,0.45,1.0
P1,Iran,Sociology,AI_Revised,58.1,21.5,0.78,0.82
P1,Iran,Sociology,Author_Refined,65.8,18.3,0.62,0.91
P2,India,Education,Original,68.9,15.1,0.41,1.0
P2,India,Education,AI_Revised,52.3,23.1,0.81,0.78
P2,India,Education,Author_Refined,61.2,19.8,0.68,0.88
P3,Brazil,Philosophy,Original,81.2,12.8,0.38,1.0
P3,Brazil,Philosophy,AI_Revised,60.5,20.4,0.75,0.75
P3,Brazil,Philosophy,Author_Refined,74.1,17.2,0.59,0.85
P4,Vietnam,Linguistics,Original,75.6,16.4,0.48,1.0
P4,Vietnam,Linguistics,AI_Revised,55.2,24.2,0.84,0.88
P4,Vietnam,Linguistics,Author_Refined,68.4,21.1,0.72,0.94
P5,Iran,Politics,Original,65.1,13.9,0.42,1.0
P5,Iran,Politics,AI_Revised,51.8,22.8,0.79,0.79
P5,Iran,Politics,Author_Refined,59.7,19.1,0.66,0.87
P6,India,History,Original,70.3,15.7,0.46,1.0
P6,India,History,AI_Revised,56.4,22.1,0.82,0.81
P6,India,History,Author_Refined,64.2,20.3,0.69,0.92
P7,Brazil,Sociology,Original,78.2,14.8,0.4,1.0
P7,Brazil,Sociology,AI_Revised,53.7,23.5,0.86,0.76
P7,Brazil,Sociology,Author_Refined,66.9,19.4,0.71,0.89
P8,Vietnam,Education,Original,62.4,13.2,0.35,1.0
P8,Vietnam,Education,AI_Revised,49.1,21.2,0.77,0.84
P8,Vietnam,Education,Author_Refined,57.3,17.8,0.61,0.9
P9,Iran,Philosophy,Original,85.1,17.1,0.51,1.0
P9,Iran,Philosophy,AI_Revised,62.4,25.1,0.88,0.8
P9,Iran,Philosophy,Author_Refined,76.8,22.3,0.78,0.93
P10,India,Linguistics,Original,71.8,15.3,0.43,1.0
P10,India,Linguistics,AI_Revised,54.8,23.8,0.83,0.85
P10,India,Linguistics,Author_Refined,63.1,20.9,0.7,0.91
P11,Brazil,Politics,Original,67.3,14.5,0.39,1.0
P11,Brazil,Politics,AI_Revised,50.2,22.4,0.8,0.77
P11,Brazil,Politics,Author_Refined,58.5,18.6,0.64,0.86
P12,Vietnam,History,Original,74.1,16.1,0.47,1.0
P12,Vietnam,History,AI_Revised,53.1,24.5,0.85,0.83
P12,Vietnam,History,Author_Refined,66.2,21.4,0.73,0.92
P13,Nigeria,Sociology,Original,69.5,14.0,0.41,1.0
P13,Nigeria,Sociology,AI_Revised,53.8,22.7,0.81,0.8
P13,Nigeria,Sociology,Author_Refined,64.1,18.9,0.67,0.9
