Variable,Comparison,Mean_Diff_(A-B),t,p_raw,p_bonferroni,sig
MTLD,Original vs AI_Revised,18.103333333333335,26.15969372616382,1.0173752138256357e-21,3.052125641476907e-21,True
MTLD,Original vs Author_Refined,7.666666666666667,22.56532971510398,6.086779241436256e-20,1.826033772430877e-19,True
MTLD,AI_Revised vs Author_Refined,-10.436666666666664,-22.059993441542673,1.1335505185547886e-19,3.4006515556643656e-19,True
MLU,Original vs AI_Revised,-8.146666666666667,-72.07611206843856,2.8966406894994107e-34,8.689922068498232e-34,True
MLU,Original vs Author_Refined,-4.723333333333334,-52.23498403371974,3.0651767081196448e-30,9.195530124358935e-30,True
MLU,AI_Revised vs Author_Refined,3.423333333333333,30.734369925275598,1.1127002202357576e-23,3.3381006607072725e-23,True
Cohesion_Score,Original vs AI_Revised,-0.3920000000000001,-68.99969032508238,1.019045264186379e-33,3.057135792559137e-33,True
Cohesion_Score,Original vs Author_Refined,-0.25199999999999995,-46.74892539210346,7.379997030731282e-29,2.2139991092193847e-28,True
Cohesion_Score,AI_Revised vs Author_Refined,0.14,37.08316720996979,5.47594545350455e-26,1.6427836360513651e-25,True
SBERT_Similarity,Original vs AI_Revised,0.1923333333333333,25.235440396692876,2.7673137315524825e-21,8.301941194657447e-21,True
SBERT_Similarity,Original vs Author_Refined,0.1,20.45163149406987,8.955879537026937e-19,2.686763861108081e-18,True
SBERT_Similarity,AI_Revised vs Author_Refined,-0.09233333333333335,-19.896284180147635,1.8901832678107088e-18,5.670549803432126e-18,True
